breakdown,end_of_2022,end_of_2021,end_of_2020,end_of_2019
Total Assets,2391825000.0,2051653000.0,1912207000.0,1817734000.0
Total Liabilities Net Minority Interest,1752673000.0,1370414000.0,1257119000.0,1243339000.0
Total Equity Gross Minority Interest,639152000.0,681239000.0,655088000.0,574395000.0
Total Capitalization,1203376000.0,1052188000.0,1048218000.0,972202000.0
Preferred Stock Equity,10187000.0,10187000.0,10187000.0,10187000.0
Common Stock Equity,274606000.0,316443000.0,344677000.0,322269000.0
Capital Lease Obligations,75475000.0,94992000.0,117037000.0,142248000.0
Net Tangible Assets,-136335000.0,11689000.0,61898000.0,55105000.0
Working Capital,156685000.0,189806000.0,253027000.0,201527000.0
Invested Capital,1630925000.0,1321637000.0,1253178000.0,1175315000.0
Tangible Book Value,-146522000.0,1502000.0,51711000.0,44918000.0
Total Debt,1431794000.0,1100186000.0,1025538000.0,995294000.0
Net Debt,1038105000.0,705164000.0,561292000.0,566589000.0
Share Issued,3288649.0,3288649.0,3288649.0,3288649.0
Ordinary Shares Number,2383897.0,2383897.0,2383897.0,2383897.0
Preferred Shares Number,843238.0,1396798.0,1396798.0,1381633.0
Treasury Shares Number,904753.0,904753.0,904753.0,904753.0
